Year,Month,Value
2007,Jun,37.35
2007,Jul,12.5
2007,Aug,13.5
2007,Sep,8
2007,Oct,15.97
2007,Nov,38.62
2007,Dec,76.57
2008,Jan,70.82
2008,Feb,110.3
2008,Mar,37.47
2008,Apr,13.8
2008,May,7.86
2008,Jun,22.27
2008,Jul,23.54
2008,Aug,12.56
2008,Sep,18.42
2008,Oct,13.75
2008,Nov,62.38
2008,Dec,78.25
2009,Jan,125.54
2009,Feb,86.81
2009,Mar,28.18
2009,Apr,24.73
2009,May,18.55
2009,Jun,22.55
2009,Jul,14.72
2009,Aug,10.99
2009,Sep,14.81
2009,Oct,12.9
2009,Nov,28.72
2009,Dec,64.19
2010,Jan,100.46
2010,Feb,101.05
2010,Mar,62.17
2010,Apr,41.01
2010,May,30.81
2010,Jun,11.51
2010,Jul,35.45
2010,Aug,28.23
2010,Sep,46.75
2010,Oct,55.27
2010,Nov,60.67
2010,Dec,110.32
2011,Jan,110.45
2011,Feb,142.42
2011,Mar,146.64
2011,Apr,38.38
2011,May,15.82
2011,Jun,20.15
2011,Jul,20.3
2011,Aug,16.05
2011,Sep,12.82
2011,Oct,36.05
2011,Nov,62.29
2011,Dec,75.33
2012,Jan,97.21
2012,Feb,70.65
2012,Mar,113.45
2012,Apr,18.74
2012,May,16.7
2012,Jun,24.97
2012,Jul,19.36
2012,Aug,8.83
2012,Sep,9.79
2012,Oct,10.3
2012,Nov,32.01
2012,Dec,49.83
2013,Jan,68.77
2013,Feb,60.99
2013,Mar,65.92
2013,Apr,20.09
2013,May,34.7
2013,Jun,30.3
2013,Jul,18.98
2013,Aug,11.58
2013,Sep,13.75
2013,Oct,11.77
2013,Nov,42.9
2013,Dec,42.86
2014,Jan,95.35
2014,Feb,109.95
2014,Mar,43.23
2014,Apr,40.55
2014,May,21.83
2014,Jun,16.06
2014,Jul,14.66
2014,Aug,15.01
2014,Sep,12.34
2014,Oct,9.58
2014,Nov,26.6
2014,Dec,68.22
2015,Jan,111.7
2015,Feb,41.18
2015,Mar,45.78
2015,Apr,27.8
2015,May,22.75
2015,Jun,20.11
2015,Jul,15.99
2015,Aug,17.11
2015,Sep,6.24
2015,Oct,11.08
2015,Nov,34.28
2015,Dec,82.72
2016,Jan,71.74
2016,Feb,44.23
2016,Mar,65.24
2016,Apr,10.62
2016,May,42.8
2016,Jun,50.89
2016,Jul,35.17
2016,Aug,27.25
2016,Sep,46.96
2016,Oct,19.91
2016,Nov,23.81
2016,Dec,93.47
2017,Jan,126.51
2017,Feb,85.84
2017,Mar,71.31
2017,Apr,25.71
2017,May,15.06
2017,Jun,8.76
2017,Jul,12.98
2017,Aug,14.4
2017,Sep,10.81
2017,Oct,36.79
2017,Nov,40.8
2017,Dec,45.47
2018,Jan,103
2018,Feb,73.38
2018,Mar,59.23
2018,Apr,9.51
2018,May,8.92
2018,Jun,17.21
2018,Jul,10.97
2018,Aug,14.08
2018,Sep,5.24
2018,Oct,25.44
2018,Nov,37.76
2018,Dec,41.11
2019,Jan,52.1
2019,Feb,49.19
2019,Mar,57.01
2019,Apr,21.13
2019,May,15.99
2019,Jun,16.91
2019,Jul,10.45
2019,Aug,8.71
2019,Sep,6.72
2019,Oct,8.46
2019,Nov,12.62
2019,Dec,16.42
2020,Jan,90.58
2020,Feb,86.15
2020,Mar,52.76
2020,Apr,24.17
2020,May,18.62
2020,Jun,10.85
2020,Jul,12.58
2020,Aug,20.42
2020,Sep,16.3
2020,Oct,32.27
2020,Nov,18.88
2020,Dec,103.01
2021,Jan,75.76
2021,Feb,90.4
2021,Mar,79.74
2021,Apr,19.46
2021,May,18.16
2021,Jun,26.29
2021,Jul,21.83
2021,Aug,11.31
2021,Sep,14.25
2021,Oct,26.23
2021,Nov,75.42
2021,Dec,48.89
2022,Jan,104.57
2022,Feb,60.43
2022,Mar,47.56
2022,Apr,39.35
2022,May,41.23
2022,Jun,18.03
2022,Jul,23.49
2022,Aug,25.18
2022,Sep,34.66
2022,Oct,62.43
2022,Nov,60.86
2022,Dec,71.46
2023,Jan,114.44
2023,Feb,80.02
2023,Mar,59.87
2023,Apr,41.63
2023,May,7.85
2023,Jun,28.65
2023,Jul,21.28
2023,Aug,9.48
2023,Sep,4.94
2023,Oct,8.27
2023,Nov,46.65
2023,Dec,49.99
2024,Jan,123.69
2024,Feb,80.49
2024,Mar,122.69
2024,Apr,22.29
2024,May,19.74
2024,Jun,25.73
2024,Jul,20.73
2024,Aug,17.9
2024,Sep,22.11
2024,Oct,19.74
2024,Nov,55.79
2024,Dec,70.66
2025,Jan,54.81
2025,Feb,76.87
2025,Mar,97.89
2025,Apr,37.18
2025,May,24.71
2025,Jun,14.59
2025,Jul,23.97
2025,Aug,19.46
2025,Sep,14.21
2025,Oct,23.56
2025,Nov,45.38
2025,Dec,71.89
