Year,Month,Value
1921,Jun,43.7
1921,Jul,25.62
1921,Aug,17.69
1921,Sep,22.62
1921,Oct,23.83
1921,Nov,23.35
1921,Dec,64.32
1922,Jan,50.77
1922,Feb,81.32
1922,Mar,56.78
1922,Apr,19.96
1922,May,22.74
1922,Jun,19.32
1922,Jul,22.68
1922,Aug,10.82
1922,Sep,12.35
1922,Oct,20.66
1922,Nov,15.21
1922,Dec,83.6
1923,Jan,58.13
1923,Feb,29.8
1923,Mar,56.13
1923,Apr,34.04
1923,May,23.23
1923,Jun,56.37
1923,Jul,22.27
1923,Aug,10.35
1923,Sep,14.5
1923,Oct,16.31
1923,Nov,13.94
1923,Dec,76.26
1924,Jan,48.76
1924,Feb,83.68
1924,Mar,42.42
1924,Apr,22.83
1924,May,11.25
1924,Jun,16.97
1924,Jul,14.82
1924,Aug,21.07
1924,Sep,20.32
1924,Oct,29.63
1924,Nov,52.1
1924,Dec,45.43
1925,Jan,97.12
1925,Feb,83.02
1925,Mar,66.93
1925,Apr,19
1925,May,25.88
1925,Jun,18.64
1925,Jul,16.9
1925,Aug,14.29
1925,Sep,12.24
1925,Oct,7.71
1925,Nov,26.21
1925,Dec,33.43
1926,Jan,83.26
1926,Feb,26.42
1926,Mar,75.17
1926,Apr,31.32
1926,May,32.75
1926,Jun,15.6
1926,Jul,16.11
1926,Aug,12.78
1926,Sep,23.04
1926,Oct,10.72
1926,Nov,17.43
1926,Dec,69.11
1927,Jan,79.29
1927,Feb,61.22
1927,Mar,68.34
1927,Apr,15.27
1927,May,12.32
1927,Jun,32.45
1927,Jul,17.35
1927,Aug,11.65
1927,Sep,14.47
1927,Oct,19.7
1927,Nov,32.21
1927,Dec,53.46
1928,Jan,46.53
1928,Feb,78.48
1928,Mar,55.76
1928,Apr,26.29
1928,May,12.6
1928,Jun,21.61
1928,Jul,18.21
1928,Aug,7.78
1928,Sep,8.42
1928,Oct,16.21
1928,Nov,20.42
1928,Dec,48.08
1929,Jan,60.06
1929,Feb,69.22
1929,Mar,64.6
1929,Apr,30.28
1929,May,20.24
1929,Jun,23.21
1929,Jul,7.99
1929,Aug,13.5
1929,Sep,10.07
1929,Oct,13.13
1929,Nov,24.14
1929,Dec,42.03
1930,Jan,77.7
1930,Feb,94.82
1930,Mar,43.05
1930,Apr,18.35
1930,May,30.17
1930,Jun,27.03
1930,Jul,19.3
1930,Aug,21.78
1930,Sep,9.58
1930,Oct,45.55
1930,Nov,25.27
1930,Dec,78.34
1931,Jan,66.33
1931,Feb,24.75
1931,Mar,73.85
1931,Apr,40.73
1931,May,42.52
1931,Jun,36.4
1931,Jul,19.05
1931,Aug,13.63
1931,Sep,17.13
1931,Oct,16.54
1931,Nov,41.29
1931,Dec,43.7
1932,Jan,46.77
1932,Feb,44.27
1932,Mar,60.76
1932,Apr,27.21
1932,May,33.68
1932,Jun,18.77
1932,Jul,15.02
1932,Aug,21.1
1932,Sep,15.3
1932,Oct,21.6
1932,Nov,24.65
1932,Dec,57.01
1933,Jan,43.88
1933,Feb,60.92
1933,Mar,53.72
1933,Apr,26.01
1933,May,22.78
1933,Jun,25.18
1933,Jul,30.4
1933,Aug,25.14
1933,Sep,22.34
1933,Oct,20.02
1933,Nov,50.1
1933,Dec,64.02
1934,Jan,63.65
1934,Feb,76.57
1934,Mar,68.86
1934,Apr,41.22
1934,May,10.06
1934,Jun,20.91
1934,Jul,30.22
1934,Aug,16.49
1934,Sep,12.26
1934,Oct,31.71
1934,Nov,44.73
1934,Dec,21.9
1935,Jan,58.87
1935,Feb,38.43
1935,Mar,71.67
1935,Apr,17.42
1935,May,9.95
1935,Jun,25.39
1935,Jul,21.21
1935,Aug,17.66
1935,Sep,20.78
1935,Oct,26.16
1935,Nov,16.62
1935,Dec,25.54
1936,Jan,64.12
1936,Feb,70.65
1936,Mar,63.5
1936,Apr,16.49
1936,May,23.84
1936,Jun,22.85
1936,Jul,25.12
1936,Aug,16.31
1936,Sep,8.39
1936,Oct,14.46
1936,Nov,18.41
1936,Dec,60.34
1937,Jan,106.02
1937,Feb,46.14
1937,Mar,62.16
1937,Apr,12.35
1937,May,14.49
1937,Jun,22.03
1937,Jul,8.97
1937,Aug,16.74
1937,Sep,9.8
1937,Oct,16.17
1937,Nov,33.38
1937,Dec,37.56
1938,Jan,73.43
1938,Feb,90.03
1938,Mar,18.59
1938,Apr,12.14
1938,May,22
1938,Jun,25.93
1938,Jul,24.92
1938,Aug,15.89
1938,Sep,6.29
1938,Oct,20.19
1938,Nov,36.01
1938,Dec,18.28
1939,Jan,93.53
1939,Feb,90.85
1939,Mar,62.94
1939,Apr,33.75
1939,May,15.2
1939,Jun,40.57
1939,Jul,31.37
1939,Aug,25.47
1939,Sep,7.06
1939,Oct,25.97
1939,Nov,37.37
1939,Dec,28.31
1940,Jan,95.22
1940,Feb,94.93
1940,Mar,54.94
1940,Apr,26.33
1940,May,10.39
1940,Jun,8.13
1940,Jul,12.37
1940,Aug,9.36
1940,Sep,10.82
1940,Oct,9.1
1940,Nov,21.26
1940,Dec,42.57
1941,Jan,110.62
1941,Feb,43.35
1941,Mar,107.21
1941,Apr,28.89
1941,May,21.68
1941,Jun,34.22
1941,Jul,16.41
1941,Aug,12.08
1941,Sep,11
